account;cluster;;sha;namespace;deployment;pod_name
corporateprod;eks-nike-tech-01-prod;sha256:614e2a378d2c55b588ea02eab6a6ec9eb4e4281ad731955dc67442c4c2ff35bb;gcr.io/apigee-microgateway/edgemicro@sha256:614e2a378d2c55b588ea02eab6a6ec9eb4e4281ad731955dc67442c4c2ff35bb;apigee-system;eks-nike-tech-01-prod-microgateway-ddb785cf8;eks-nike-tech-01-prod-microgateway-ddb785cf8-8t964
corporateprod;eks-nike-tech-01-prod;sha256:b68f8ab06808890dff627d8fff67a3375fb8d38b83d1c79ea0684cfbb7702ba9;docker.io/bitnami/cassandra@sha256:b68f8ab06808890dff627d8fff67a3375fb8d38b83d1c79ea0684cfbb7702ba9;cassandra-uat;N/A;cassandra-uat-0
corporateprod;eks-nike-tech-01-prod;sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;quay.io/strimzi/operator@sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;default;strimzi-cluster-operator-5dc9798fb4;strimzi-cluster-operator-5dc9798fb4-gbknc
corporateprod;eks-nike-tech-01-prod;sha256:bfb1d7950ea02c875c7061a98e1714b017d8e2a6e74df0c07611c546b6d4f8b6;ghcr.io/fluxcd/flagger@sha256:bfb1d7950ea02c875c7061a98e1714b017d8e2a6e74df0c07611c546b6d4f8b6;istio-system;flagger-8b945cf6b;flagger-8b945cf6b-6jn8n
corporateprod;eks-nike-tech-01-prod;sha256:2152aea5fbe2de20f08f3e0412ad7a4cd54a492240ff40974261ee4bdb43871d;docker.io/istio/proxyv2@sha256:2152aea5fbe2de20f08f3e0412ad7a4cd54a492240ff40974261ee4bdb43871d;istio-system;istio-ingress-65cc558668;istio-ingress-65cc558668-rxzqd
corporateprod;eks-nike-tech-01-prod;sha256:ce9d876067018d5217836ffd28e5767e64937c573f5ac7d421be860857d0b266;docker.io/istio/pilot@sha256:ce9d876067018d5217836ffd28e5767e64937c573f5ac7d421be860857d0b266;istio-system;istiod-649844d58b;istiod-649844d58b-bh5dk
corporateprod;eks-nike-tech-01-prod;sha256:0e0c081fd0cf40e9028533d386177fc2492e4e839e1151237e847b2c9486715b;docker.io/jaegertracing/all-in-one@sha256:0e0c081fd0cf40e9028533d386177fc2492e4e839e1151237e847b2c9486715b;istio-system;jaeger-8559896dfc;jaeger-8559896dfc-v2t2j
corporateprod;eks-nike-tech-01-prod;sha256:fa494cb4ef3f3e4f593f3b12f77fced35fe1dff3c7c97e5f54f3f834d778e18d;quay.io/kiali/kiali@sha256:fa494cb4ef3f3e4f593f3b12f77fced35fe1dff3c7c97e5f54f3f834d778e18d;istio-system;kiali-65fcd75bd;kiali-65fcd75bd-qnvd9
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-dev;kafka-cluster-entity-operator-7d4b5dcddf;kafka-cluster-entity-operator-7d4b5dcddf-bbdvl
corporateprod;eks-nike-tech-01-prod;sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;quay.io/strimzi/operator@sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;kafka-dev;kafka-cluster-entity-operator-7d4b5dcddf;kafka-cluster-entity-operator-7d4b5dcddf-bbdvl
corporateprod;eks-nike-tech-01-prod;sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;quay.io/strimzi/operator@sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;kafka-dev;kafka-cluster-entity-operator-7d4b5dcddf;kafka-cluster-entity-operator-7d4b5dcddf-bbdvl
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-dev;N/A;kafka-cluster-kafka-0
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-dev;N/A;kafka-cluster-zookeeper-0
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-dev;N/A;kafka-cluster-zookeeper-1
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-dev;N/A;kafka-cluster-zookeeper-2
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-uat;kafka-cluster-entity-operator-9f495578;kafka-cluster-entity-operator-9f495578-l64r4
corporateprod;eks-nike-tech-01-prod;sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;quay.io/strimzi/operator@sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;kafka-uat;kafka-cluster-entity-operator-9f495578;kafka-cluster-entity-operator-9f495578-l64r4
corporateprod;eks-nike-tech-01-prod;sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;quay.io/strimzi/operator@sha256:c5e0e5dca7503a8371b8d366db0f49e3fc68f62ea480262e39b6cc277991c97c;kafka-uat;kafka-cluster-entity-operator-9f495578;kafka-cluster-entity-operator-9f495578-l64r4
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-uat;N/A;kafka-cluster-kafka-0
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-uat;N/A;kafka-cluster-zookeeper-0
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-uat;N/A;kafka-cluster-zookeeper-1
corporateprod;eks-nike-tech-01-prod;sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;quay.io/strimzi/kafka@sha256:680ae1958dbcb9da8ee4128a67c1163a6ee2744221f7d29f73d8bcc237fd0173;kafka-uat;N/A;kafka-cluster-zookeeper-2
corporateprod;eks-nike-tech-01-prod;sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;602401143452.dkr.ecr.sa-east-1.amazonaws.com/amazon-k8s-cni@sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;kube-system;N/A;aws-node-92vct
